histBlockSize, newPixelBlockSize, mapPixelBlockSize, avgHistogramMs, avgNewPixelMs, avgMapPixelMs
32, 32, 32, 3.948427, 0.406524, 0.412429
64, 64, 64, 1.956702, 0.209907, 0.216026
96, 96, 96, 1.312207, 0.144316, 0.150972
128, 128, 128, 0.988990, 0.111637, 0.118400
160, 160, 160, 0.796098, 0.092188, 0.098833
192, 192, 192, 0.666931, 0.079081, 0.087379
224, 224, 224, 0.574972, 0.069890, 0.082285
256, 256, 256, 0.506078, 0.062901, 0.080727
288, 288, 288, 0.453297, 0.057425, 0.082148
320, 320, 320, 0.409476, 0.053734, 0.083727
352, 352, 352, 0.374325, 0.054914, 0.087550
384, 384, 384, 0.345291, 0.052019, 0.084066
416, 416, 416, 0.320162, 0.055691, 0.091497
448, 448, 448, 0.299305, 0.054061, 0.088841
480, 480, 480, 0.280307, 0.051889, 0.085986
512, 512, 512, 0.263923, 0.050180, 0.083394
544, 544, 544, 0.250370, 0.058153, 0.095270
576, 576, 576, 0.238170, 0.057502, 0.093786
608, 608, 608, 0.226458, 0.057193, 0.091535
640, 640, 640, 0.216354, 0.053722, 0.089325
672, 672, 672, 0.207415, 0.052416, 0.087765
704, 704, 704, 0.199701, 0.066848, 0.109365
736, 736, 736, 0.191332, 0.066016, 0.107183
768, 768, 768, 0.184845, 0.061549, 0.104241
800, 800, 800, 0.178276, 0.063622, 0.104495
832, 832, 832, 0.172282, 0.061500, 0.102323
864, 864, 864, 0.166711, 0.061534, 0.101564
896, 896, 896, 0.161828, 0.056727, 0.099456
928, 928, 928, 0.156585, 0.058705, 0.099855
960, 960, 960, 0.152951, 0.056373, 0.098276
992, 992, 992, 0.148806, 0.056934, 0.096988
1024, 1024, 1024, 0.144817, 0.057082, 0.094835
