histBlockSize, newPixelBlockSize, mapPixelBlockSize, avgHistogramMs, avgNewPixelMs, avgMapPixelMs
32, 32, 32, 14.015008, 1.424263, 1.429756
64, 64, 64, 6.987076, 0.718035, 0.724768
96, 96, 96, 4.666560, 0.482554, 0.488405
128, 128, 128, 3.507029, 0.365239, 0.371315
160, 160, 160, 2.811296, 0.294675, 0.300751
192, 192, 192, 2.355153, 0.247915, 0.261052
224, 224, 224, 2.016484, 0.214769, 0.245894
256, 256, 256, 1.767433, 0.191198, 0.239529
288, 288, 288, 1.574639, 0.170321, 0.245826
320, 320, 320, 1.419164, 0.159413, 0.252721
352, 352, 352, 1.293161, 0.168316, 0.265325
384, 384, 384, 1.187987, 0.158767, 0.253175
416, 416, 416, 1.098479, 0.178379, 0.280939
448, 448, 448, 1.022131, 0.170863, 0.270340
480, 480, 480, 0.955565, 0.161284, 0.260612
512, 512, 512, 0.897758, 0.153764, 0.249798
544, 544, 544, 0.845739, 0.187413, 0.294321
576, 576, 576, 0.802180, 0.180151, 0.288527
608, 608, 608, 0.760175, 0.178035, 0.278857
640, 640, 640, 0.725613, 0.165946, 0.269973
672, 672, 672, 0.692941, 0.161062, 0.266468
704, 704, 704, 0.661033, 0.221495, 0.344849
736, 736, 736, 0.634221, 0.214699, 0.336922
768, 768, 768, 0.608841, 0.198780, 0.326413
800, 800, 800, 0.585340, 0.206106, 0.326430
832, 832, 832, 0.563691, 0.196386, 0.320235
864, 864, 864, 0.545129, 0.199142, 0.314707
896, 896, 896, 0.525054, 0.179328, 0.308230
928, 928, 928, 0.508175, 0.189355, 0.307778
960, 960, 960, 0.493943, 0.180442, 0.302575
992, 992, 992, 0.478097, 0.180117, 0.298861
1024, 1024, 1024, 0.463168, 0.179520, 0.290229
