histBlockSize, newPixelBlockSize, mapPixelBlockSize, avgHistogramMs, avgNewPixelMs, avgMapPixelMs
32, 32, 32, 1.424520, 0.149728, 0.155147
64, 64, 64, 0.683228, 0.080258, 0.087002
96, 96, 96, 0.460297, 0.058127, 0.065267
128, 128, 128, 0.351034, 0.046967, 0.054419
160, 160, 160, 0.285470, 0.040288, 0.047806
192, 192, 192, 0.239635, 0.035981, 0.043177
224, 224, 224, 0.210577, 0.032736, 0.040461
256, 256, 256, 0.187125, 0.030545, 0.039023
288, 288, 288, 0.167791, 0.028947, 0.039117
320, 320, 320, 0.154707, 0.027631, 0.039548
352, 352, 352, 0.140898, 0.027518, 0.040201
384, 384, 384, 0.130903, 0.026835, 0.039703
416, 416, 416, 0.122046, 0.028314, 0.041734
448, 448, 448, 0.113888, 0.027731, 0.040862
480, 480, 480, 0.106281, 0.026935, 0.040727
512, 512, 512, 0.102498, 0.026359, 0.040350
544, 544, 544, 0.097306, 0.029634, 0.042432
576, 576, 576, 0.093126, 0.028879, 0.042735
608, 608, 608, 0.091927, 0.028290, 0.041453
640, 640, 640, 0.089385, 0.027270, 0.041922
672, 672, 672, 0.085724, 0.027070, 0.041274
704, 704, 704, 0.082528, 0.031578, 0.046925
736, 736, 736, 0.080036, 0.031725, 0.046421
768, 768, 768, 0.077039, 0.030044, 0.045538
800, 800, 800, 0.074987, 0.030948, 0.045577
832, 832, 832, 0.073037, 0.029929, 0.045150
864, 864, 864, 0.070714, 0.030027, 0.044826
896, 896, 896, 0.068708, 0.028800, 0.044591
928, 928, 928, 0.068847, 0.028892, 0.044198
960, 960, 960, 0.067068, 0.028964, 0.044538
992, 992, 992, 0.063968, 0.027898, 0.043526
1024, 1024, 1024, 0.064139, 0.028454, 0.043245
