histBlockSize, newPixelBlockSize, mapPixelBlockSize, avgHistogramMs, avgNewPixelMs, avgMapPixelMs
32, 32, 32, 50.130699, 5.116128, 5.123972
64, 64, 64, 26.835371, 2.727755, 2.737963
96, 96, 96, 18.608631, 1.891599, 1.902016
128, 128, 128, 13.969572, 1.421879, 1.432350
160, 160, 160, 11.187841, 1.138812, 1.148561
192, 192, 192, 9.332272, 0.951354, 0.992021
224, 224, 224, 8.007346, 0.817333, 0.934756
256, 256, 256, 7.012068, 0.716651, 0.908646
288, 288, 288, 6.241002, 0.638244, 0.934306
320, 320, 320, 5.622370, 0.575680, 0.960397
352, 352, 352, 5.114965, 0.595770, 1.013404
384, 384, 384, 4.694362, 0.559676, 0.962178
416, 416, 416, 4.337634, 0.613065, 1.073986
448, 448, 448, 4.031189, 0.585536, 1.033028
480, 480, 480, 3.765538, 0.554406, 0.992789
512, 512, 512, 3.533683, 0.531878, 0.945813
544, 544, 544, 3.329662, 0.668920, 1.128450
576, 576, 576, 3.146238, 0.634406, 1.102910
608, 608, 608, 2.983985, 0.668249, 1.062735
640, 640, 640, 2.837135, 0.576785, 1.027753
672, 672, 672, 2.705685, 0.563181, 1.010842
704, 704, 704, 2.583447, 0.780288, 1.329673
736, 736, 736, 2.473479, 0.767979, 1.298541
768, 768, 768, 2.371750, 0.690413, 1.256401
800, 800, 800, 2.279373, 0.723921, 1.255253
832, 832, 832, 2.193824, 0.687917, 1.231232
864, 864, 864, 2.114938, 0.697830, 1.209638
896, 896, 896, 2.041220, 0.622778, 1.182893
928, 928, 928, 1.973393, 0.662191, 1.181521
960, 960, 960, 1.909169, 0.628386, 1.158746
992, 992, 992, 1.849990, 0.637943, 1.142790
1024, 1024, 1024, 1.793927, 0.628375, 1.109745
