32, 32, 32, 0.753242, 0.075264, 0.079761
64, 64, 64, 0.309822, 0.045474, 0.050786
96, 96, 96, 0.212823, 0.035305, 0.041513
128, 128, 128, 0.163753, 0.030720, 0.036179
160, 160, 160, 0.134492, 0.028002, 0.033227
192, 192, 192, 0.114980, 0.025086, 0.031392
224, 224, 224, 0.102453, 0.025101, 0.031010
256, 256, 256, 0.091057, 0.024158, 0.029517
288, 288, 288, 0.083601, 0.023699, 0.029961
320, 320, 320, 0.076335, 0.023089, 0.029779
352, 352, 352, 0.071157, 0.023023, 0.030334
384, 384, 384, 0.067646, 0.019475, 0.030076
416, 416, 416, 0.063247, 0.022035, 0.030722
448, 448, 448, 0.059712, 0.022799, 0.030586
480, 480, 480, 0.057173, 0.019699, 0.030692
512, 512, 512, 0.055605, 0.020343, 0.030839
544, 544, 544, 0.053237, 0.024009, 0.031347
576, 576, 576, 0.051268, 0.021670, 0.031379
608, 608, 608, 0.049794, 0.020222, 0.031074
640, 640, 640, 0.048934, 0.021372, 0.030861
672, 672, 672, 0.050321, 0.021519, 0.032764
704, 704, 704, 0.048218, 0.025884, 0.034283
736, 736, 736, 0.044546, 0.024066, 0.032821
768, 768, 768, 0.044233, 0.024073, 0.032860
800, 800, 800, 0.042490, 0.023921, 0.032314
832, 832, 832, 0.042174, 0.023953, 0.032499
864, 864, 864, 0.041303, 0.024000, 0.032209
896, 896, 896, 0.040365, 0.020890, 0.031808
928, 928, 928, 0.040100, 0.023546, 0.032113
960, 960, 960, 0.039189, 0.021227, 0.031808
992, 992, 992, 0.038967, 0.020627, 0.031925
1024, 1024, 1024, 0.039287, 0.020486, 0.031635
32, 32, 32, 1.424520, 0.149728, 0.155147
64, 64, 64, 0.683228, 0.080258, 0.087002
96, 96, 96, 0.460297, 0.058127, 0.065267
128, 128, 128, 0.351034, 0.046967, 0.054419
160, 160, 160, 0.285470, 0.040288, 0.047806
192, 192, 192, 0.239635, 0.035981, 0.043177
224, 224, 224, 0.210577, 0.032736, 0.040461
256, 256, 256, 0.187125, 0.030545, 0.039023
288, 288, 288, 0.167791, 0.028947, 0.039117
320, 320, 320, 0.154707, 0.027631, 0.039548
352, 352, 352, 0.140898, 0.027518, 0.040201
384, 384, 384, 0.130903, 0.026835, 0.039703
416, 416, 416, 0.122046, 0.028314, 0.041734
448, 448, 448, 0.113888, 0.027731, 0.040862
480, 480, 480, 0.106281, 0.026935, 0.040727
512, 512, 512, 0.102498, 0.026359, 0.040350
544, 544, 544, 0.097306, 0.029634, 0.042432
576, 576, 576, 0.093126, 0.028879, 0.042735
608, 608, 608, 0.091927, 0.028290, 0.041453
640, 640, 640, 0.089385, 0.027270, 0.041922
672, 672, 672, 0.085724, 0.027070, 0.041274
704, 704, 704, 0.082528, 0.031578, 0.046925
736, 736, 736, 0.080036, 0.031725, 0.046421
768, 768, 768, 0.077039, 0.030044, 0.045538
800, 800, 800, 0.074987, 0.030948, 0.045577
832, 832, 832, 0.073037, 0.029929, 0.045150
864, 864, 864, 0.070714, 0.030027, 0.044826
896, 896, 896, 0.068708, 0.028800, 0.044591
928, 928, 928, 0.068847, 0.028892, 0.044198
960, 960, 960, 0.067068, 0.028964, 0.044538
992, 992, 992, 0.063968, 0.027898, 0.043526
1024, 1024, 1024, 0.064139, 0.028454, 0.043245
32, 32, 32, 3.948427, 0.406524, 0.412429
64, 64, 64, 1.956702, 0.209907, 0.216026
96, 96, 96, 1.312207, 0.144316, 0.150972
128, 128, 128, 0.988990, 0.111637, 0.118400
160, 160, 160, 0.796098, 0.092188, 0.098833
192, 192, 192, 0.666931, 0.079081, 0.087379
224, 224, 224, 0.574972, 0.069890, 0.082285
256, 256, 256, 0.506078, 0.062901, 0.080727
288, 288, 288, 0.453297, 0.057425, 0.082148
320, 320, 320, 0.409476, 0.053734, 0.083727
352, 352, 352, 0.374325, 0.054914, 0.087550
384, 384, 384, 0.345291, 0.052019, 0.084066
416, 416, 416, 0.320162, 0.055691, 0.091497
448, 448, 448, 0.299305, 0.054061, 0.088841
480, 480, 480, 0.280307, 0.051889, 0.085986
512, 512, 512, 0.263923, 0.050180, 0.083394
544, 544, 544, 0.250370, 0.058153, 0.095270
